PRO_COM,comune,elettori,perc_h12,perc_h19,perc_h22
82038,Giardinello,2059,7.77,32.88,52.36
82039,Giuliana,1882,8.5,31.35,54.52
82040,Godrano,1078,8.91,51.58,70.41
82041,Gratteri,917,7.85,36.86,45.47
82042,Isnello,1579,9.06,40.09,48.77
82043,Isola delle Femmine,6119,13.35,40.64,50.37
82044,Lascari,3300,11.33,41.15,54.42
82045,Lercara Friddi,12102,3.97,16.42,24.35
82046,Marineo,5961,9.91,43.73,59.44
82047,Mezzojuso,2737,10.01,41.8,54.18
82048,Misilmeri,23963,9.45,39.47,51.71
82049,Monreale,32678,11.58,40.34,50.61
82050,Montelepre,5880,8.78,33.88,49.64
82051,Montemaggiore Belsito,3109,6.88,31.71,51.85
82052,Palazzo Adriano,2068,7.93,35.06,53.72
82053,Palermo,556900,13.24,37.8,45.89
82054,Partinico,28566,8.76,33.26,47.41
82055,Petralia Soprana,3019,10.07,41.9,58.5
82056,Petralia Sottana,2917,9.98,37.78,48.17
82057,Piana degli Albanesi,5738,8.47,27.57,43.12
82058,Polizzi Generosa,3459,8.07,26.94,44.35
82059,Pollina,3686,9.63,39.18,48.94
82060,Prizzi,4497,8.12,33.67,53.81
82061,Roccamena,1815,4.46,35.87,43.97
82062,Roccapalumba,3337,3.45,19.6,28.56
82063,San Cipirello,4983,8.91,35.76,48.75
82064,San Giuseppe Jato,8387,6.53,28.79,40.74
82065,San Mauro Castelverde,1975,6.08,26.03,39.19
82066,Santa Cristina Gela,1073,12.77,37.47,48.28
82067,Santa Flavia,10167,11.39,37.58,47.41
82068,Sciara,2705,8.21,37.38,52.46
82081,Scillato,622,12.86,45.5,60.29
82069,Sclafani Bagni,393,9.67,43.77,55.47
82070,Termini Imerese,23322,11.85,38.43,48.65
82071,Terrasini,11627,10.47,33.26,47.75
82072,Torretta,4467,7.95,28.12,39.69
82073,Trabia,9150,11.42,40.74,51.45
82074,Trappeto,3755,6.6,30.12,36.3
82075,Ustica,1218,17,42.61,50
82076,Valledolmo,3617,5.64,28.28,46.97
82077,Ventimiglia di Sicilia,2242,8.97,37.11,51.92
82078,Vicari,2786,5.24,31.08,43.65
82079,Villabate,16077,9.65,33.98,41.64
82080,Villafrati,2936,8.38,37.77,52.49
88001,Acate,7109,8.07,35.21,42.35
88002,Chiaramonte Gulfi,7526,9.81,34.71,49.38
88003,Comiso,25939,10.11,38.52,48.7
88004,Giarratana,3440,7.99,33.6,42.85
88005,Ispica,13787,12.02,39.83,48.63
88006,Modica,47024,12.34,40.9,52.9
88007,Monterosso Almo,3172,7.16,32.03,45.33
88008,Pozzallo,17447,11.62,34.52,41.6
88009,Ragusa,61957,13.01,40.52,50.56
88010,Santa Croce Camerina,7947,10.8,34.88,43.6
88011,Scicli,21962,11.95,39.63,48.73
88012,Vittoria,50257,9.19,31.82,40.68
89001,Augusta,32285,14.76,40.71,47.75
89002,Avola,27741,10.63,36.82,47.66
89003,Buccheri,2734,3.77,22.06,31.68
89004,Buscemi,1121,11.42,41.12,53.52
89005,Canicattini Bagni,7143,12.12,42.25,50.99
89006,Carlentini,15688,11.82,40.69,51.17
89007,Cassaro,904,8.85,35.07,44.58
89008,Ferla,2506,6.98,36.95,49.68
89009,Floridia,19821,12.14,38.01,45.84
89010,Francofonte,12619,8.28,33.98,44.07
89011,Lentini,21896,10.97,33.31,40.82
89012,Melilli,12220,14.78,44.71,53.6
89013,Noto,20851,11.08,35.09,42.7
89014,Pachino,20987,9.12,32.01,40.08
89015,Palazzolo Acreide,8635,10.38,35.08,45.64
89020,Portopalo di Capo Passero,3380,15.33,42.07,52.78
89021,Priolo Gargallo,10244,16.58,52.86,62.35
89016,Rosolini,19862,10.52,37.88,48.92
89017,Siracusa,103322,13.98,39.61,48.98
89018,Solarino,7548,8.37,34.88,43.36
89019,Sortino,8208,10.96,43.46,54.56
81001,Alcamo,40100,10.79,39.41,51.7
81002,Buseto Palizzolo,2871,5.61,32.32,45.42
81003,Calatafimi Segesta,7112,5.65,23.2,35.05
81004,Campobello di Mazara,11793,8.32,32.35,39.85
81005,Castellammare del Golfo,14802,7,30.72,40.69
81006,Castelvetrano,28173,8.99,33.98,41.21
81007,Custonaci,4793,6.91,33.61,44.61
81008,Erice,24527,12.52,37.11,45.57
81009,Favignana,4383,12,32.17,35.02
81010,Gibellina,4029,7.15,36.83,46.56
81011,Marsala,70000,7.76,35.33,45.74
81012,Mazara del Vallo,43522,13.26,41.95,48.44
81013,Paceco,9975,11.05,39.93,49.54
81014,Pantelleria,6504,7.93,28.92,41.24
81015,Partanna,10131,7.11,34,43.49
81024,Petrosino,6585,7.02,40.32,50.78
81016,Poggioreale,1670,6.89,32.75,41.68
81017,Salaparuta,1835,6.16,32.64,42.94
81018,Salemi,10122,9.11,36.26,48.35
81020,San Vito Lo Capo,5212,7.39,27.44,33.23
81019,Santa Ninfa,4491,10.26,44.53,55.33
81021,Trapani,59878,10.25,33.56,43.55
81022,Valderice,10605,10.3,40.3,50.36
81023,Vita,2017,4.61,31.53,44.17
