sezione,votanti,ubicazione,numeroElettori,affluenzaPercentuale
69,375,"SCUOLA PRIMARIA ""CAVALLARI"" CORSO DEI MILLE N.793",1040,36.0576923077
553,350,"SCUOLA SECONDARIA I GRADO ""FEDERICO II"" VIA PIER DELLE VIGNE N.13",971,36.0453141092
349,437,"SCUOLA PRIMARIA ""VILLAGRAZIA"" VIA VILLAGRAZIA N.298",1213,36.0263808739
454,379,"SCUOLA PRIMARIA ""NUOVO PAGLIARELLI"" VIA VILLANI GIOVANNI N.40",1053,35.9924026591
419,357,"SCUOLA PRIMARIA ""BORGO ULIVIA"" VIA ORTIGIA N.19",992,35.9879032258
595,430,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1",1196,35.9531772575
322,404,"SCUOLA PRIMARIA ""NAZARIO SAURO"" VIALE AMEDEO D'AOSTA N.20",1124,35.9430604982
121,315,"SCUOLA PRIMARIA ""MONTEGRAPPA"" VIA ROCCELLA GUSTAVO N.37",877,35.9179019384
186,283,"SCUOLA PRIMARIA ""OBERDAN"" VIA SPICA PIETRO N.5",788,35.9137055838
437,384,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1",1072,35.8208955224
83,441,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1",1235,35.7085020243
45,278,"SCUOLA PRIMARIA ""MONTEGRAPPA"" VIA ROCCELLA GUSTAVO N.37",780,35.641025641
263,254,"SCUOLA PRIMARIA ""AMARI"" VIA INGRASSIA GIAN FILIPPO N.33",714,35.5742296919
272,350,"SCUOLA SECOND.DI I GRADO ""MAZZINI"" VIA DE MARIA FEDERICO N.36",987,35.4609929078
287,342,"SCUOLA PRIMARIA ""CAVALLARI"" CORSO DEI MILLE N.793",966,35.4037267081
28,313,"SCUOLA PRIMARIA ""BORSELLINO"" LARGO CAMASTRA N.4",885,35.3672316384
228,362,"SCUOLA PRIMARIA ""MEDAGLIE D'ORO"" VIA DEODATO PIER LUIGI N.7",1024,35.3515625
366,383,SCUOLA DELL'INFANZIA ZS 10 VIA PALAZZOTTO F.P. E G.B. N. 5,1084,35.332103321
330,322,"SCUOLA PRIMARIA ""BIXIO"" VIA CASSARO N.2",912,35.3070175439
377,391,"SCUOLA PRIMARIA ""MANTEGNA"" VIA BOLOGNI N.4",1110,35.2252252252
516,457,"SCUOLA PRIMARIA ""ANDREA SOLE"" VIA MOLARA N.30",1298,35.2080123267
207,297,"DIREZIONE DIDATTICA ""CAPUANA"" VIA NARBONE ALESSIO N.55",847,35.0649350649
320,345,"SCUOLA DELL'INFANZIA ""DIAZ VECCHIO"" VIA REGINA MARIA DI SICILIA N.7",984,35.0609756098
547,269,"SCUOLA SECOND.I GR.""LEONARDO DA VINCI"" VIA SERRADIFALCO N.190",769,34.9804941482
587,385,"SCUOLA PRIMARIA ""BIXIO"" VIA CASSARO N.2",1101,34.9682107175
596,272,"SCUOLA SECOND.I GR.""LEONARDO DA VINCI"" VIA SERRADIFALCO N.190",779,34.9165596919
138,398,"SCUOLA PRIMARIA ""NATOLI"" CORSO DEI MILLE N.1486",1140,34.9122807018
388,369,"SCUOLA PRIMARIA ""TEN. ONORATO"" VIA TACITO N.34",1057,34.9101229896
217,356,"DIREZIONE DIDATTICA ""CAPUANA"" VIA NARBONE ALESSIO N.55",1023,34.7996089932
196,372,"SCUOLA PRIMARIA E DELL'INF. ""SALERNO"" VIA SALERNO N.19",1069,34.7988774556
294,270,"SCUOLA SECOND.DI I GR.""S.BOCCONE"" VIA DEL VESPRO N.72",777,34.749034749
455,348,"SCUOLA SECOND.I GR.""TOMASI DI LAMPEDUSA"" VIALE LEONARDO DA VINCI N.504",1005,34.6268656716
345,404,"SCUOLA ELEMENTARE ""MANCINO"" VIA BELMONTE CHIAVELLI N.111/D",1167,34.618680377
224,303,"DIREZIONE DIDATTICA ""CAPUANA"" VIA NARBONE ALESSIO N.55",876,34.5890410959
334,386,"SCUOLA PRIMARIA ""TOMASINO BARTOLOMEO"" VIA S.MARIA DI GESU' N.89",1116,34.5878136201
460,364,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1",1053,34.5679012346
7,312,"SCUOLA PRIMARIA ""FILIPPO RACITI"" VIA ALIA N.16",905,34.4751381215
105,286,"SCUOLA PRIMARIA E DELL'INF. ""SALERNO"" VIA SALERNO N.19",832,34.375
226,301,"DIREZIONE DIDATTICA ""CAPUANA"" VIA NARBONE ALESSIO N.55",881,34.1657207719
89,275,"SCUOLA PRIMARIA E DELL'INF. ""NUCCIO"" VIA MONGITORE ANTONINO N.4",809,33.9925834363
348,396,"SCUOLA PRIMARIA ""BARONE DELLA SCALA"" BAGLIO BARONE DELLA SCALA N.22",1165,33.991416309
221,289,"DIREZIONE DIDATTICA ""CAPUANA"" VIA NARBONE ALESSIO N.55",853,33.8804220399
261,270,"SCUOLA PRIMARIA ""AMARI"" VIA INGRASSIA GIAN FILIPPO N.33",798,33.8345864662
55,278,"SCUOLA PRIMARIA ""F.CRISPI"" INGR.PAD.2 VIA BARISANO DA TRANI N.7",825,33.696969697
274,259,"SCUOLA PRIMARIA ""MONTEGRAPPA"" VIA ROCCELLA GUSTAVO N.37",769,33.6801040312
317,390,"SCUOLA PRIMARIA ""NAZARIO SAURO"" VIALE AMEDEO D'AOSTA N.20",1159,33.6496980155
281,266,"SCUOLA PRIMARIA ""GIOBERTI"" VIA LAZZARO CARMELO N.1",791,33.6283185841
275,272,"ISTITUTO COMPRENSIVO ""FALCONE"" VIA BASILE ERNESTO N.170",811,33.5388409371
540,263,"SCUOLA PRIMARIA ""OBERDAN"" VIA SPICA PIETRO N.5",786,33.4605597964
556,276,"SCUOLA PRIMARIA ""MATTARELLA"" VIALE DI VITTORIO GIUSEPPE N.7",825,33.4545454545
126,345,"SCUOLA SECONDARIA I GRADO ""FEDERICO II"" VIA PIER DELLE VIGNE N.13",1033,33.3978702807
3,309,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40",926,33.3693304536
29,388,SCUOLA ELEMENTARE FERRARA PIAZZA MAGIONE N.1,1164,33.3333333333
292,227,"SCUOLA SECOND.DI I GR.""S.BOCCONE"" VIA DEL VESPRO N.72",681,33.3333333333
341,244,"SCUOLA PRIMARIA ""OBERDAN"" VIA SPICA PIETRO N.5",732,33.3333333333
300,299,"SCUOLA PRIMARIA ""ROSOLINO PILO"" VIA LA FRANCA SEBASTIANO N.70",898,33.2962138085
13,383,SCUOLA ELEMENTARE FERRARA PIAZZA MAGIONE N.1,1155,33.1601731602
82,396,"SCUOLA ELEMENTARE ""MANCINO"" VIA BELMONTE CHIAVELLI N.111/D",1195,33.1380753138
120,295,"SCUOLA PRIMARIA ""MARVUGLIA"" VIA RALLO ALBERTO N.9",893,33.0347144457
520,310,"SCUOLA PRIMARIA ""BORSELLINO"" LARGO CAMASTRA N.4",940,32.9787234043
304,307,"SCUOLA PRIMARIA ""ROSOLINO PILO"" VIA LA FRANCA SEBASTIANO N.70",931,32.9752953813
482,291,"SCUOLA PRIMARIA ""G. COSTA"" VIA UGHETTI GIOVANBATTISTA N.27",884,32.9185520362
206,337,"SCUOLA PRIMARIA ""COLOZZA"" VIA IMERA N.32",1025,32.8780487805
211,310,"SCUOLA PRIMARIA ""COLOZZA"" VIA IMERA N.32",946,32.7695560254
202,316,"SCUOLA PRIMARIA ""COLOZZA"" VIA IMERA N.32",967,32.6783867632
5,256,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53",785,32.6114649682
338,358,"SCUOLA PRIMARIA ""OBERDAN"" VIA SPICA PIETRO N.5",1098,32.6047358834
154,315,"SCUOLA PRIMARIA ""MARABITTI"" VIA SPEDALIERI NICOLO' N.52",968,32.541322314
103,368,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1",1132,32.5088339223
515,317,"SCUOLA PRIMARIA ""BORGO ULIVIA"" VIA ORTIGIA N.19",977,32.4462640737
315,275,"SCUOLA PRIMARIA ""CAVALLARI"" CORSO DEI MILLE N.793",848,32.429245283
158,284,"SCUOLA PRIMARIA ""MARABITTI"" VIA SPEDALIERI NICOLO' N.52",876,32.4200913242
16,308,"SCUOLA SECOND.I GRADO ""PIRANDELLO"" VIA DELL'USIGNOLO N.5",951,32.3869610936
15,299,"SCUOLA PRIMARIA ""BORSELLINO"" LARGO CAMASTRA N.4",924,32.3593073593
51,318,"SCUOLA PRIMARIA E DELL'INF. ""SALERNO"" VIA SALERNO N.19",984,32.3170731707
521,278,"SCUOLA PRIMARIA ""BORSELLINO"" LARGO CAMASTRA N.4",861,32.2880371661
583,263,"SCUOLA PRIMARIA ""AMARI"" VIA INGRASSIA GIAN FILIPPO N.33",818,32.1515892421
590,291,"SCUOLA PRIMARIA ""F.P. PEREZ"" PIAZZA PEREZ FRANCESCO PAOLO N.1",909,32.0132013201
112,314,"SCUOLA PRIM. E DELL'INFANZ.""L.SCIASCIA"" VIA SMITH ADAMO N.19",983,31.9430315361
323,314,"SCUOLA DELL'INFANZIA ""DIAZ VECCHIO"" VIA REGINA MARIA DI SICILIA N.7",984,31.9105691057
8,306,"SCUOLA DELL'INFANZIA ""JACK LONDON"" VIA LONDON JACK N.1/A",959,31.9082377477
132,372,"SCUOLA SECONDARIA I GRADO ""FEDERICO II"" VIA PIER DELLE VIGNE N.13",1167,31.8766066838
524,310,"SCUOLA PRIMARIA ""F.CRISPI"" INGR.PAD.2 VIA BARISANO DA TRANI N.7",973,31.8602261048
284,278,"SCUOLA PRIMARIA ""GIOBERTI"" VIA LAZZARO CARMELO N.1",873,31.8442153494
477,333,"SCUOLA PRIMARIA ""BIXIO"" VIA CASSARO N.2",1048,31.7748091603
41,266,"SCUOLA PRIMARIA ""VALVERDE"" VIA VALVERDE N.2",839,31.7044100119
441,246,"SCUOLA PRIMARIA E DELL'INF.""IEVOLELLA"" VIA SERRADIFALCO N.3",776,31.7010309278
299,241,"SCUOLA SECOND.DI I GR.""S.BOCCONE"" VIA DEL VESPRO N.72",763,31.5858453473
581,325,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53",1032,31.492248062
111,261,"SCUOLA PRIM. E DELL'INFANZ.""L.SCIASCIA"" VIA SMITH ADAMO N.19",829,31.4837153197
327,328,"SCUOLA DELL'INFANZIA ""DIAZ VECCHIO"" VIA REGINA MARIA DI SICILIA N.7",1048,31.2977099237
220,288,"DIREZIONE DIDATTICA ""CAPUANA"" VIA NARBONE ALESSIO N.55",921,31.2703583062
59,314,"SCUOLA PRIMARIA ""CAVALLARI"" CORSO DEI MILLE N.793",1010,31.0891089109
427,300,"SCUOLA PRIMARIA ""MARABITTI"" VIA SPEDALIERI NICOLO' N.52",966,31.0559006211
150,275,"SCUOLA SECOND.I GR.""LEONARDO DA VINCI"" VIA SERRADIFALCO N.190",890,30.8988764045
308,251,"SCUOLA PRIMARIA ""F.P. PEREZ"" PIAZZA PEREZ FRANCESCO PAOLO N.1",815,30.7975460123
162,251,"SCUOLA SECOND.I GRADO ""DANTE ALIGHIERI"" VIA MARTURANO RUGGERO N.79",817,30.7221542228
342,317,"SCUOLA PRIMARIA ""BORGO ULIVIA"" VIA ORTIGIA N.19",1033,30.6873184898
37,301,"SCUOLA PRIMARIA ""VALVERDE"" VIA VALVERDE N.2",986,30.5273833671
227,271,"SCUOLA PRIMARIA ""MEDAGLIE D'ORO"" VIA DEODATO PIER LUIGI N.7",891,30.4152637486
289,265,"SCUOLA PRIMARIA ""GIOBERTI"" VIA LAZZARO CARMELO N.1",872,30.3899082569
298,211,"SCUOLA SECOND.DI I GR.""S.BOCCONE"" VIA DEL VESPRO N.72",695,30.3597122302
303,298,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40",982,30.3462321792
36,327,"SCUOLA PRIMARIA ""VALVERDE"" VIA VALVERDE N.2",1078,30.3339517625
188,309,"SCUOLA PRIMARIA ""BORGO ULIVIA"" VIA ORTIGIA N.19",1020,30.2941176471
566,249,"SCUOLA SEC.I GR.""PR.SSA ELENA DI NAPOLI"" VIA USTICA N.46",823,30.255164034
297,263,"SCUOLA PRIMARIA ""F.P. PEREZ"" PIAZZA PEREZ FRANCESCO PAOLO N.1",872,30.1605504587
57,365,"SCUOLA PRIMARIA ""TURRISI COLONNA"" PIAZZA GRAN CANCELLIERE N.1",1215,30.0411522634
232,264,"SCUOLA PRIMARIA E DELL'INF.""IEVOLELLA"" VIA SERRADIFALCO N.3",879,30.0341296928
306,248,"SCUOLA SECOND.DI I GR.""S.BOCCONE"" VIA DEL VESPRO N.72",826,30.0242130751
1,327,"SCUOLA DELL'INFANZIA""MADRE TERESA DI C."" VIA MAQUEDA N.53",1100,29.7272727273
245,246,"SCUOLA PRIMARIA ""SCIPIONE DI CASTRO"" VIA DI CASTRO SCIPIONE N.22",828,29.7101449275
551,258,"SCUOLA PRIMARIA ""BORSELLINO"" LARGO CAMASTRA N.4",875,29.4857142857
496,228,"SCUOLA PRIMARIA ""AMARI"" VIA INGRASSIA GIAN FILIPPO N.33",777,29.3436293436
280,327,"SCUOLA PRIMARIA ""BORGO ULIVIA"" VIA ORTIGIA N.19",1116,29.3010752688
440,220,"SCUOLA PRIMARIA E DELL'INF.""IEVOLELLA"" VIA SERRADIFALCO N.3",752,29.2553191489
135,313,"SCUOLA SECONDARIA I GRADO ""FEDERICO II"" VIA PIER DELLE VIGNE N.13",1073,29.1705498602
98,224,"SCUOLA PRIMARIA E DELL'INF. ""NUCCIO"" VIA MONGITORE ANTONINO N.4",774,28.9405684755
324,299,"SCUOLA PRIMARIA ""RANDAZZO"" VIA SPERONE N.79",1035,28.8888888889
277,251,"ISTITUTO COMPRENSIVO ""FALCONE"" VIA BASILE ERNESTO N.170",876,28.6529680365
592,312,"SCUOLA PRIMARIA ""BORGO ULIVIA"" VIA ORTIGIA N.19",1091,28.5976168653
443,216,"SCUOLA PRIMARIA ""DE AMICIS"" VIA ROSSO DI S.SECONDO N.1",756,28.5714285714
43,241,"SCUOLA PRIMARIA ""VALVERDE"" VIA VALVERDE N.2",846,28.4869976359
457,284,"SCUOLA SECOND. DI I GRADO ""MATTARELLA"" VIA BONAGIA N.14",998,28.4569138277
139,285,"SCUOLA SECONDARIA I GRADO ""FEDERICO II"" VIA PIER DELLE VIGNE N.13",1007,28.3018867925
425,266,"SCUOLA PRIMARIA ""MARABITTI"" VIA SPEDALIERI NICOLO' N.52",954,27.8825995807
309,248,"SCUOLA PRIMARIA ""F.P. PEREZ"" PIAZZA PEREZ FRANCESCO PAOLO N.1",898,27.6169265033
527,226,"SCUOLA SECOND.I GRADO ""PIRANDELLO"" VIA DELL'USIGNOLO N.5",824,27.427184466
580,311,"SCUOLA PRIM. E DELL'INFANZ.""L.SCIASCIA"" VIA SMITH ADAMO N.19",1138,27.3286467487
235,192,"SCUOLA PRIMARIA ""SCIPIONE DI CASTRO"" VIA DI CASTRO SCIPIONE N.22",704,27.2727272727
85,248,ISTITUTO MAGISTRALE REGINA MARGHERITA PIAZZA CASA PROFESSA N.3/B,918,27.0152505447
582,221,"SCUOLA PRIMARIA E DELL'INF. ""NUCCIO"" VIA MONGITORE ANTONINO N.4",832,26.5625
246,229,"SCUOLA PRIMARIA ""SCIPIONE DI CASTRO"" VIA DI CASTRO SCIPIONE N.22",863,26.5353418308
95,210,"SCUOLA PRIMARIA E DELL'INF. ""NUCCIO"" VIA MONGITORE ANTONINO N.4",794,26.4483627204
301,207,"SCUOLA SECOND.DI I GR.""S.BOCCONE"" VIA DEL VESPRO N.72",785,26.3694267516
267,222,"SCUOLA PRIMARIA ""AMARI"" VIA INGRASSIA GIAN FILIPPO N.33",851,26.0869565217
140,276,"SCUOLA SECONDARIA I GRADO ""FEDERICO II"" VIA PIER DELLE VIGNE N.13",1061,26.013195099
53,229,"SCUOLA PRIMARIA ""GIOBERTI"" VIA LAZZARO CARMELO N.1",886,25.8465011287
305,237,"SCUOLA PRIMARIA ""F.P. PEREZ"" PIAZZA PEREZ FRANCESCO PAOLO N.1",926,25.5939524838
483,207,"SCUOLA PRIMARIA ""MATTARELLA"" VIALE DI VITTORIO GIUSEPPE N.7",822,25.1824817518
242,215,"SCUOLA PRIMARIA ""SCIPIONE DI CASTRO"" VIA DI CASTRO SCIPIONE N.22",857,25.0875145858
259,191,"SCUOLA PRIMARIA ""DEL VESPRO"" VIA OS.1 N.2",763,25.0327653997
12,280,"SCUOLA PRIMARIA ""TURRISI COLONNA"" PIAZZA GRAN CANCELLIERE N.1",1138,24.60456942
594,233,"SCUOLA PRIMARIA ""G. COSTA"" VIA UGHETTI GIOVANBATTISTA N.27",957,24.3469174504
564,251,"SCUOLA PRIM. E DELL'INFANZ.""L.SCIASCIA"" VIA SMITH ADAMO N.19",1034,24.2746615087
19,293,"SCUOLA PRIMARIA ""OBERDAN"" VIA SPICA PIETRO N.5",1210,24.2148760331
476,190,"SCUOLA PRIMARIA ""BORSELLINO"" LARGO CAMASTRA N.4",801,23.720349563
406,225,"SCUOLA PRIMARIA ""MATTARELLA"" VIALE DI VITTORIO GIUSEPPE N.7",972,23.1481481481
114,191,ISTITUTO MAGISTRALE REGINA MARGHERITA PIAZZA CASA PROFESSA N.3/B,853,22.3915592028
475,184,"SCUOLA PRIMARIA ""MATTARELLA"" VIALE DI VITTORIO GIUSEPPE N.7",833,22.0888355342
241,192,"SCUOLA PRIMARIA ""SCIPIONE DI CASTRO"" VIA DI CASTRO SCIPIONE N.22",872,22.0183486239
337,241,"SCUOLA PRIMARIA ""OBERDAN"" VIA SPICA PIETRO N.5",1100,21.9090909091
115,161,"SCUOLA PRIMARIA ""EX SCIASCIA"" VIA MARCHESE NICOLO' PENSABENE N.34",760,21.1842105263
410,179,"SCUOLA PRIMARIA ""MATTARELLA"" VIALE DI VITTORIO GIUSEPPE N.7",854,20.9601873536
136,205,"SCUOLA PRIMARIA ""EX SCIASCIA"" VIA MARCHESE NICOLO' PENSABENE N.34",984,20.8333333333
399,214,"SCUOLA PRIM. E DELL'INFANZ.""L.SCIASCIA"" VIA SMITH ADAMO N.19",1111,19.2619261926
10,181,"SCUOLA PRIMARIA ""EX SCIASCIA"" VIA MARCHESE NICOLO' PENSABENE N.34",946,19.133192389
569,136,"SCUOLA PRIMARIA ""MATTARELLA"" VIALE DI VITTORIO GIUSEPPE N.7",751,18.1091877497
480,196,"SCUOLA PRIM. E DELL'INFANZ.""L.SCIASCIA"" VIA SMITH ADAMO N.19",1144,17.1328671329
67,78,ISTITUTO MAGISTRALE REGINA MARGHERITA PIAZZA CASA PROFESSA N.3/B,789,9.88593155894
63,94,"SCUOLA PRIMARIA ""TURRISI COLONNA"" PIAZZA GRAN CANCELLIERE N.1",1909,4.9240440021
2,0,"SCUOLA PRIMARIA ""MANZONI"" VIA PARLATORE FILIPPO N.56",697,0.0
6,0,"SCUOLA PRIMARIA ""BASILE"" LARGO CORLEONE N.11/T",1065,0.0
14,0,"SCUOLA PRIMARIA ""PAULSEN"" P.LE CARPINO FRANCESCO CARD. N.3",810,0.0
18,0,"SCUOLA PRIMARIA ""UMBERTO GIORDANO"" VIA DAIDONE N.24",872,0.0
20,0,"SCUOLA PRIMARIA ""G.FAVA"" VIA MONTE S.CALOGERO N.20",839,0.0
24,0,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40",859,0.0
25,0,"SCUOLA PRIMARIA ""PAULSEN"" P.LE CARPINO FRANCESCO CARD. N.3",1247,0.0
27,0,"SCUOLA PRIMARIA ""IGNAZIO BUTTITTA"" VIA CIMABUE GIOVANNI N.20",932,0.0
31,0,"SCUOLA PRIMARIA ""FILIPPO RACITI"" VIA ALIA N.16",979,0.0
32,0,"SCUOLA PRIMARIA ""D'ANGELO PAOLO EMILIO"" VIA S.LORENZO N.295",1039,0.0
33,0,"SCUOLA PRIMARIA ""GIOVANNI XXIII"" VIA SAMPOLO N.63",975,0.0
46,0,"SCUOLA PRIMARIA ""D'ANGELO PAOLO EMILIO"" VIA S.LORENZO N.295",964,0.0
47,0,"SCUOLA DELL'INFANZIA""PASS.DEI PICCIOTTI"" PASSAGGIO DEI PICCIOTTI N.3",912,0.0
50,0,"SCUOLA PRIMARIA ""DE AMICIS E"" VIA SAURO NAZARIO N.11",965,0.0
56,0,"SCUOLA PRIMARIA ""SALGARI"" VIA PARATORE GIUSEPPE N.34",891,0.0
61,0,"SCUOLA PRIMARIA ""IGNAZIO BUTTITTA"" VIA CIMABUE GIOVANNI N.20",1080,0.0
66,0,"SCUOLA PRIMARIA ""PASCOLI"" VIA NETTUNO N.7",1181,0.0
71,0,"SCUOLA PRIMARIA ""F.CRISPI"" INGR.PAD.1 VIA BARISANO DA TRANI N.7",1014,0.0
72,0,"SCUOLA PRIMARIA ""TURRISI COLONNA"" PIAZZA GRAN CANCELLIERE N.1",1185,0.0
73,0,"SCUOLA PRIMARIA ""FILIPPO RACITI"" VIA ALIA N.16",850,0.0
75,0,"SCUOLA PRIMARIA ""F.CRISPI"" INGR.PAD.1 VIA BARISANO DA TRANI N.7",885,0.0
76,0,"SCUOLA PRIMARIA ""TURRISI COLONNA"" PIAZZA GRAN CANCELLIERE N.1",1123,0.0
86,0,"SCUOLA PRIMARIA ""PAULSEN"" P.LE CARPINO FRANCESCO CARD. N.3",1093,0.0
91,0,"SCUOLA PRIMARIA ""PASCOLI"" VIA NETTUNO N.7",1142,0.0
93,0,"SCUOLA SECOND.I GRADO ""A.GRAMSCI"" VIA ARCOLEO GIUSEPPE N.78",696,0.0
96,0,"SCUOLA PRIMARIA ""G.FAVA"" VIA MONTE S.CALOGERO N.20",804,0.0
99,0,"SCUOLA PRIMARIA ""SALGARI"" VIA PARATORE GIUSEPPE N.34",995,0.0
100,0,"SCUOLA PRIMARIA ""D'ANGELO PAOLO EMILIO"" VIA S.LORENZO N.295",972,0.0
117,0,"SCUOLA PRIMARIA ""LA MASA"" VIA LA MASA GIUSEPPE N.17",934,0.0
118,0,"SCUOLA PRIMARIA ""LA MASA"" VIA LA MASA GIUSEPPE N.17",934,0.0
119,0,"SCUOLA PRIMARIA ""LA MASA"" VIA LA MASA GIUSEPPE N.17",864,0.0
122,0,"SCUOLA PRIMARIA ""LA MASA"" VIA LA MASA GIUSEPPE N.17",952,0.0
124,0,"SCUOLA PRIMARIA ""ETTORE ARCULEO"" VIA SCHIFANI VITO N.3",824,0.0
129,0,"SCUOLA SEC.I GR.""PR.SSA ELENA DI NAPOLI"" VIA USTICA N.46",1069,0.0
146,0,"SCUOLA PRIMARIA ""ETTORE ARCULEO"" VIA SCHIFANI VITO N.3",1708,0.0
149,0,"SCUOLA PRIMARIA ""G.FAVA"" VIA MONTE S.CALOGERO N.20",825,0.0
151,0,"SCUOLA PRIMARIA ""ETTORE ARCULEO"" VIA SCHIFANI VITO N.3",675,0.0
155,0,"SCUOLA PRIMARIA ""F.CRISPI"" INGR.PAD.1 VIA BARISANO DA TRANI N.7",873,0.0
156,0,"SCUOLA PRIMARIA ""MARVUGLIA"" VIA RALLO ALBERTO N.9",955,0.0
159,0,"SCUOLA PRIMARIA ""MARVUGLIA"" VIA RALLO ALBERTO N.9",922,0.0
160,0,"SCUOLA PRIMARIA ""MARVUGLIA"" VIA RALLO ALBERTO N.9",867,0.0
163,0,"SCUOLA PRIMARIA ""IGNAZIO BUTTITTA"" VIA CIMABUE GIOVANNI N.20",1118,0.0
164,0,"SCUOLA PRIMARIA ""MARVUGLIA"" VIA RALLO ALBERTO N.9",934,0.0
166,0,"SCUOLA PRIMARIA ""MARVUGLIA"" VIA RALLO ALBERTO N.9",932,0.0
167,0,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40",955,0.0
174,0,"SCUOLA PRIMARIA ""BORSELLINO"" VIA GIOTTO N.41",891,0.0
175,0,"SCUOLA PRIMARIA ""G. COSTA"" VIA UGHETTI GIOVANBATTISTA N.27",963,0.0
179,0,"SC.SECOND.I GRADO ""DEL FERVORE"" VIA DEL FERVORE N.5",833,0.0
181,0,"SCUOLA PRIMARIA ""RAGUSA MOLETI"" VIA RAGUSA MOLETI N.8",748,0.0
197,0,"SC.SECOND.I GRADO ""DEL FERVORE"" VIA DEL FERVORE N.5",831,0.0
199,0,"SCUOLA PRIMARIA ""F.CRISPI"" INGR.PAD.1 VIA BARISANO DA TRANI N.7",920,0.0
203,0,"SCUOLA PRIMARIA ""FILIPPO RACITI"" VIA ALIA N.16",933,0.0
204,0,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40",943,0.0
213,0,"SCUOLA PRIMARIA ""COLLODI"" VIA BRIUCCIA N.89",859,0.0
216,0,"SCUOLA PRIMARIA ""G.FAVA"" VIA MONTE S.CALOGERO N.20",994,0.0
218,0,"SCUOLA PRIMARIA ""MARVUGLIA"" VIA RALLO ALBERTO N.9",1277,0.0
222,0,"SCUOLA PRIMARIA ""MARVUGLIA"" VIA RALLO ALBERTO N.9",988,0.0
223,0,"SCUOLA PRIMARIA ""ETTORE ARCULEO"" VIA SCHIFANI VITO N.3",631,0.0
229,0,"SCUOLA PRIMARIA ""F.SCO ORESTANO"" VIA S.CIRO N.48",984,0.0
237,0,"SCUOLA PRIMARIA ""GABELLI"" VIA EUGENIO L'EMIRO N.30",1106,0.0
238,0,"SCUOLA PRIMARIA ""BORSELLINO"" VIA GIOTTO N.41",838,0.0
240,0,"SCUOLA PRIMARIA ""BORSELLINO"" VIA GIOTTO N.41",919,0.0
243,0,"SCUOLA PRIMARIA ""IGNAZIO BUTTITTA"" VIA CIMABUE GIOVANNI N.20",915,0.0
244,0,"SCUOLA PRIMARIA ""GABELLI"" VIA EUGENIO L'EMIRO N.30",1104,0.0
247,0,"SCUOLA PRIMARIA ""LOMBARDO RADICE"" CORSO CALATAFIMI N.241",884,0.0
248,0,"SCUOLA PRIMARIA ""LOMBARDO RADICE"" CORSO CALATAFIMI N.241",1035,0.0
249,0,"SCUOLA PRIMARIA ""LOMBARDO RADICE"" CORSO CALATAFIMI N.241",756,0.0
251,0,"SCUOLA PRIMARIA ""LOMBARDO RADICE"" CORSO CALATAFIMI N.241",875,0.0
254,0,"SCUOLA PRIMARIA ""LOMBARDO RADICE"" CORSO CALATAFIMI N.241",825,0.0
255,0,"SCUOLA PRIMARIA ""F.CRISPI"" INGR.PAD.1 VIA BARISANO DA TRANI N.7",861,0.0
256,0,"SCUOLA PRIMARIA ""LOMBARDO RADICE"" CORSO CALATAFIMI N.241",806,0.0
257,0,"SCUOLA PRIMARIA ""FILIPPO RACITI"" VIA ALIA N.16",913,0.0
258,0,"SCUOLA PRIMARIA ""BASILE"" LARGO CORLEONE N.11/T",1082,0.0
260,0,"SCUOLA PRIMARIA ""BORSELLINO"" VIA GIOTTO N.41",1113,0.0
265,0,"SCUOLA PRIMARIA ""DEL VESPRO"" VIA OS.1 N.2",724,0.0
266,0,"SCUOLA PRIMARIA ""D'ANGELO PAOLO EMILIO"" VIA S.LORENZO N.295",1023,0.0
268,0,"SCUOLA PRIMARIA ""SAN DOMENICO SAVIO"" VIALE DELLA RESURREZIONE N.1",1201,0.0
271,0,"SCUOLA PRIMARIA ""BASILE"" LARGO CORLEONE N.11/T",1097,0.0
273,0,"SCUOLA PRIMARIA ""LOMBARDO RADICE"" CORSO CALATAFIMI N.241",834,0.0
279,0,"SCUOLA PRIMARIA ""LOMBARDO RADICE"" CORSO CALATAFIMI N.241",742,0.0
282,0,"SCUOLA PRIMARIA ""NATOLI"" CORSO DEI MILLE N.1486",917,0.0
283,0,"SCUOLA PRIMARIA ""COLLODI"" VIA BRIUCCIA N.89",941,0.0
285,0,"SCUOLA PRIMARIA ""TOMMASO NATALE"" VIA LIMONE N.19",847,0.0
