sezione|votanti|ubicazione|numeroElettori
248|151|SCUOLA PRIMARIA "LOMBARDO RADICE" CORSO CALATAFIMI N.241|1035
249|83|SCUOLA PRIMARIA "LOMBARDO RADICE" CORSO CALATAFIMI N.241|756
250|177|SCUOLA PRIMARIA "SALGARI" VIA PARATORE GIUSEPPE N.34|982
251|120|SCUOLA PRIMARIA "LOMBARDO RADICE" CORSO CALATAFIMI N.241|875
252|156|SCUOLA PRIMARIA "BERNINI" VIA PAPALEO PIETRO N.8|998
253|120|SCUOLA PRIM.E DELL'INF."BAVIERA" VIA BAVIERA GIOVANNI N.22|735
254|102|SCUOLA PRIMARIA "LOMBARDO RADICE" CORSO CALATAFIMI N.241|825
255|152|SCUOLA PRIMARIA "F.CRISPI" INGR.PAD.1 VIA BARISANO DA TRANI N.7|861
256|107|SCUOLA PRIMARIA "LOMBARDO RADICE" CORSO CALATAFIMI N.241|806
257|91|SCUOLA PRIMARIA "FILIPPO RACITI" VIA ALIA N.16|913
258|121|SCUOLA PRIMARIA "BASILE" LARGO CORLEONE N.11/T|1082
259|64|SCUOLA PRIMARIA "DEL VESPRO" VIA OS.1 N.2|763
260|200|SCUOLA PRIMARIA "BORSELLINO" VIA GIOTTO N.41|1113
261|111|SCUOLA PRIMARIA "AMARI" VIA INGRASSIA GIAN FILIPPO N.33|798
262|127|SCUOLA PRIMARIA "RIZZO" VIA SERGIO PAPA I N.21/D|942
263|96|SCUOLA PRIMARIA "AMARI" VIA INGRASSIA GIAN FILIPPO N.33|714
264|162|SCUOLA PRIMARIA "TEN. ONORATO" VIA TACITO N.34|1172
265|83|SCUOLA PRIMARIA "DEL VESPRO" VIA OS.1 N.2|724
266|120|SCUOLA PRIMARIA "D'ANGELO PAOLO EMILIO" VIA S.LORENZO N.295|1023
267|60|SCUOLA PRIMARIA "AMARI" VIA INGRASSIA GIAN FILIPPO N.33|851
268|187|SCUOLA PRIMARIA "SAN DOMENICO SAVIO" VIALE DELLA RESURREZIONE N.1|1201
269|110|SCUOLA PRIMARIA "ROSOLINO PILO" VIA LA FRANCA SEBASTIANO N.70|835
270|111|SCUOLA SECOND.DI I GRADO "MAZZINI" VIA DE MARIA FEDERICO N.36|841
271|93|SCUOLA PRIMARIA "BASILE" LARGO CORLEONE N.11/T|1097
272|128|SCUOLA SECOND.DI I GRADO "MAZZINI" VIA DE MARIA FEDERICO N.36|987
273|97|SCUOLA PRIMARIA "LOMBARDO RADICE" CORSO CALATAFIMI N.241|834
274|76|SCUOLA PRIMARIA "MONTEGRAPPA" VIA ROCCELLA GUSTAVO N.37|769
275|83|ISTITUTO COMPRENSIVO "FALCONE" VIA BASILE ERNESTO N.170|811
276|118|SCUOLA PRIMARIA "MEDAGLIE D'ORO" VIA DEODATO PIER LUIGI N.7|807
277|80|ISTITUTO COMPRENSIVO "FALCONE" VIA BASILE ERNESTO N.170|876
278|136|ISTITUTO COMPRENSIVO "FALCONE" VIA BASILE ERNESTO N.170|810
279|82|SCUOLA PRIMARIA "LOMBARDO RADICE" CORSO CALATAFIMI N.241|742
280|85|SCUOLA PRIMARIA "BORGO ULIVIA" VIA ORTIGIA N.19|1116
281|89|SCUOLA PRIMARIA "GIOBERTI" VIA LAZZARO CARMELO N.1|791
282|90|SCUOLA PRIMARIA "NATOLI" CORSO DEI MILLE N.1486|917
283|167|SCUOLA PRIMARIA "COLLODI" VIA BRIUCCIA N.89|941
284|98|SCUOLA PRIMARIA "GIOBERTI" VIA LAZZARO CARMELO N.1|873
285|99|SCUOLA PRIMARIA "TOMMASO NATALE" VIA LIMONE N.19|847
286|87|SCUOLA PRIMARIA "DEL VESPRO" VIA OS.1 N.2|720
287|130|SCUOLA PRIMARIA "CAVALLARI" CORSO DEI MILLE N.793|966
